tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
114+13502,WEIDLER ST,EASTBOUND,NE 15TH AVE,OR,MULTNOMAH,97232,45.53438,-122.66534,45.53431,-122.65048,0.719136,4.0,America/Los_Angeles,P1.11,USA,2104,4,N,3,71317,1,,4,,1,1,,23445,877,399,1,32,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,23445,877,399
114+12319,BROADWAY,NORTHBOUND,BROADWAY BRIDGE/N INTERSTATE AVE,OR,MULTNOMAH,97209,45.52304,-122.67746,45.52987,-122.6776,0.47264,2.0,America/Los_Angeles,P1.11,USA,1753,4,N,3,71317,2,1,3,,1,1,,25960,596,246,4,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1.5,12980,298,123
114P07531,US-30-BYP,EASTBOUND,NE 33RD AVE,OR,MULTNOMAH,97211,45.57248,-122.63063,45.57229,-122.62964,0.04964,11.0,America/Los_Angeles,P1.11,USA,385,3,N,3,71317,2,,4,30,3,4,30BY,21942,1132,450,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,10971,566,225
114P07533,US-30-BYP,EASTBOUND,OR-213/NE 82ND AVE,OR,MULTNOMAH,97220,45.56267,-122.57851,45.56267,-122.5769,0.077867,14.0,America/Los_Angeles,P1.11,USA,385,3,N,3,71317,2,1,4,30,3,4,30BY,27348,1410,560,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,13674,705,280
114-12725,HALSEY ST,WESTBOUND,NE 162ND AVE,OR,MULTNOMAH,97230,45.5347,-122.47726,45.53426,-122.49584,0.902355,8.0,America/Los_Angeles,P1.11,USA,1862,4,N,3,71317,2,,4,,1,1,,15842,876,174,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,7921,438,87
114P07534,US-30-BYP,EASTBOUND,I-205,OR,MULTNOMAH,97220,45.5615,-122.5656,45.55978,-122.56141,0.235998,16.0,America/Los_Angeles,P1.11,USA,385,3,N,3,71317,2,1,4,30,3,4,30BY,33777,1742,692,2,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,16889,871,346
114P07535,US-30-BYP,EASTBOUND,NE 122ND AVE,OR,MULTNOMAH,97230,45.55728,-122.53822,45.55699,-122.5362,0.099784,19.0,America/Los_Angeles,P1.11,USA,385,4,N,3,71317,2,1,2,30,3,4,30BY,15425,1846,457,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,7713,923,229
114-08189,N INTERSTATE AVE,SOUTHBOUND,N RUSSELL ST,OR,MULTNOMAH,97227,45.54483,-122.67775,45.54158,-122.67729,0.228128,6.0,America/Los_Angeles,P1.11,USA,483,4,N,4,71317,2,,2,,1,1,,12767,534,230,5,93,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6384,267,115
114-08188,N INTERSTATE AVE,SOUTHBOUND,N WHEELER AVE,OR,MULTNOMAH,97227,45.54041,-122.67715,45.52938,-122.66596,0.992154,8.0,America/Los_Angeles,P1.11,USA,483,4,N,4,71317,2,,2,,1,1,,12767,534,230,5,65,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6384,267,115
114P14076,1D,US-26/SUNSET HWY WESTBOUND,EXIT 1D,OR,MULTNOMAH,97201,45.5183,-122.68721,45.51529,-122.6914,0.322297,1.0,America/Los_Angeles,P4.0,USA,14075,2,N,1,71317,4,1,2,,1,1,,28064,,,1,96,1,100,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,28064,,
114P05352,OR-43,NORTHBOUND,SW HOOD AVE/SW BANCROFT ST,OR,MULTNOMAH,97239,45.49184,-122.67299,45.4936,-122.67297,0.121647,11.0,America/Los_Angeles,P1.11,USA,288,3,N,3,71317,1,,1,43,4,1,43,9113,293,155,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,9113,293,155
114P05351,OR-43,NORTHBOUND,SW TAYLORS FERRY RD/SW MILES ST,OR,MULTNOMAH,97219,45.471,-122.6717,45.47263,-122.67149,0.113239,9.0,America/Los_Angeles,P1.11,USA,288,3,N,3,71317,2,,5,43,4,1,43,19894,421,222,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2.5,9947,211,111
114+08292,BURNSIDE,WESTBOUND,SE 202ND AVE,OR,MULTNOMAH,97030,45.50515,-122.41789,45.51499,-122.45511,1.933275,6.0,America/Los_Angeles,P1.11,USA,468,2,N,3,71317,2,,4,,1,1,,20687,2107,869,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,10344,1054,435
114+08295,US-30-BYP,EASTBOUND,NE SANDY BLVD,OR,MULTNOMAH,97220,45.55978,-122.56141,45.55941,-122.56073,0.041659,17.0,America/Los_Angeles,P1.11,USA,385,4,N,3,71317,2,,4,30,3,4,30BY,24527,1266,503,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,12264,633,252
114+12447,N COLUMBIA,WESTBOUND,NE 60TH AVE,OR,MULTNOMAH,97218,45.56479,-122.57853,45.56877,-122.60054,1.099929,4.0,America/Los_Angeles,P1.11,USA,1789,4,N,3,71317,2,,2,,1,1,,23029,905,288,2,2,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,11515,453,144
114+12689,GRAND BLVD,NORTHBOUND,E MILL PLAIN BLVD,WA,CLARK,98661,45.61909,-122.64342,45.62826,-122.64066,0.750924,3.0,America/Los_Angeles,P1.11,USA,1855,4,N,3,71317,2,,2,,1,1,,8086,470,187,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4043,235,94
114+12446,N COLUMBIA,WESTBOUND,OR-213/NE 82ND AVE/CASCADE HWY,OR,MULTNOMAH,97220,45.56301,-122.57135,45.5645,-122.57684,0.29296,2.0,America/Los_Angeles,P1.11,USA,1789,4,N,3,71317,6,,2,30,3,4,,17346,1637,1336,2,69,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8673,819,668
