tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
114N05262,US-26,EASTBOUND,SE MCLOUGHLIN BLVD/SE GRAND AVE,OR,MULTNOMAH,97202,45.50147,-122.662,45.50158,-122.65953,0.120071,56.0,America/Los_Angeles,P1.11,USA,209,3,N,3,71317,2,1,4,26,3,1,26,52315,1789,694,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,26158,895,347
114+05943,OR-99E,NORTHBOUND,NE BROADWAY ST,OR,MULTNOMAH,97232,45.53436,-122.66063,45.53507,-122.66063,0.049047,68.0,America/Los_Angeles,P1.11,USA,285,4,N,3,71317,1,,4,99,4,1,99E,13578,728,1037,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,13578,728,1037
114P04509,I-405,NORTHBOUND,SALMON ST/EXIT 2A (NB),OR,MULTNOMAH,97201,45.51488,-122.68886,45.51627,-122.68812,0.102505,8.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,1,4,405,2,1,405,91815,3745,6839,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,45908,1873,3420
114+05944,OR-99E,NORTHBOUND,US-30 BYP/NE LOMBARD ST,OR,MULTNOMAH,97211,45.56998,-122.66136,45.57723,-122.66133,0.500934,72.0,America/Los_Angeles,P1.11,USA,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,,,,
114P14790,,OR-99E/SE GRAND AVE NB AND SE BELMONT ST EB,,OR,MULTNOMAH,97214,45.51653,-122.66277,45.51653,-122.66075,0.097777,1.0,America/Los_Angeles,P4.0,USA,14789,3,N,3,71317,1,1,3,,1,1,,12862,440,171,1,99,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,12862,440,171
114P04508,I-405,NORTHBOUND,US-26/EXIT 1D (NB),OR,MULTNOMAH,97201,45.51019,-122.6876,45.51218,-122.68911,0.156399,6.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,6,405,2,1,405,104671,4271,7798,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,52336,2136,3899
114P04507,I-405,NORTHBOUND,6TH AVE/SW 1ST AVE/EXIT 1,OR,MULTNOMAH,97201,45.50693,-122.68283,45.50915,-122.68623,0.225013,4.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,1,6,405,2,1,405,63354,2692,4916,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,31677,1346,2458
114P04506,I-405,NORTHBOUND,4TH AVE/SW 1ST AVE/EXIT 1,OR,MULTNOMAH,97201,45.50559,-122.67869,45.50592,-122.68085,0.107838,2.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,6,405,2,1,405,72469,2812,5332,1,99,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,36235,1406,2666
114+05940,OR-99E,NORTHBOUND,SE TAYLOR ST,OR,MULTNOMAH,97214,45.50216,-122.66081,45.51509,-122.66078,0.894036,63.0,America/Los_Angeles,P1.11,USA,285,3,N,3,71317,6,1,4,99,4,1,99E,34564,1900,817,1,90,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,17282,950,409
114+05941,OR-99E,NORTHBOUND,NE LLOYD BLVD/NE GLISAN ST,OR,MULTNOMAH,97214,45.51723,-122.66075,45.52507,-122.66071,0.541605,66.0,America/Los_Angeles,P1.11,USA,285,4,N,3,71317,1,,4,99,4,1,99E,13571,729,1037,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,13571,729,1037
114+05942,OR-99E,NORTHBOUND,NE WEIDLER ST,OR,MULTNOMAH,97232,45.52655,-122.66068,45.53436,-122.66063,0.539552,67.0,America/Los_Angeles,P1.11,USA,285,4,N,3,71317,1,,4,99,4,1,99E,13571,729,1037,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,13571,729,1037
114P14794,,I-5/PACIFIC HWY NORTHBOUND AND MORRISON BRG WESTBOUND,,OR,MULTNOMAH,97214,45.51723,-122.66135,45.51724,-122.66482,0.167974,1.0,America/Los_Angeles,P4.0,USA,14793,3,N,3,71317,1,1,3,,1,1,,20907,1225,544,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,20907,1225,544
114+05939,OR-99E,NORTHBOUND,US-26/ROSS ISLAND BRIDGE/WOODWARD ST,OR,MULTNOMAH,97202,45.49035,-122.65432,45.50008,-122.66026,0.740593,61.0,America/Los_Angeles,P1.11,USA,285,3,N,3,71317,6,1,6,99,4,1,99E,52944,1597,1476,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,26472,799,738
114+12364,BURNSIDE,WESTBOUND,BROADWAY,OR,MULTNOMAH,97209,45.5231,-122.67022,45.52304,-122.67746,0.350465,20.0,America/Los_Angeles,P1.11,USA,468,4,N,3,71317,2,1,5,,1,1,,21013,1630,1031,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2.5,10507,815,516
114+12122,NE FAIRVIEW PKY,NORTHBOUND,NE HALSEY ST,OR,MULTNOMAH,97024,45.52876,-122.4425,45.53361,-122.44638,0.408816,2.0,America/Los_Angeles,P1.11,USA,1691,4,N,3,71317,2,1,4,,1,1,,22262,545,655,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,11131,273,328
114+12363,BURNSIDE,WESTBOUND,BURNSIDE BRIDGE,OR,MULTNOMAH,97214,45.52297,-122.66274,45.52301,-122.66512,0.115272,18.0,America/Los_Angeles,P3.2,USA,468,4,N,3,71317,2,1,5,,1,1,,21631,1679,1062,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2.5,10816,840,531
114+12124,NE FAIRVIEW PKY,NORTHBOUND,US-30 BYP/NE SANDY BLVD,OR,MULTNOMAH,97024,45.5406,-122.44954,45.54389,-122.44949,0.227686,5.0,America/Los_Angeles,P1.11,USA,1691,4,N,3,71317,2,,2,,1,1,,6819,377,75,1,98,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,3410,189,38
114+12365,BURNSIDE,WESTBOUND,I-405/15TH AVE/14TH AVE,OR,MULTNOMAH,97209,45.52304,-122.67746,45.52293,-122.6852,0.374728,21.0,America/Los_Angeles,P1.3,USA,468,4,N,3,71317,2,,4,,1,1,,20754,1611,1019,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,10377,806,510
114+12123,NE FAIRVIEW PKY,NORTHBOUND,I-84/US-30 BYP,OR,MULTNOMAH,97024,45.53361,-122.44638,45.53887,-122.4489,0.395319,3.0,America/Los_Angeles,P1.3,USA,1691,4,N,3,71317,2,1,4,,1,1,,21982,542,681,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,10991,271,341
114N05265,US-26,EASTBOUND,I-205,OR,MULTNOMAH,97266,45.49738,-122.56664,45.49723,-122.56459,0.100562,60.0,America/Los_Angeles,P1.11,USA,209,3,N,1,71317,2,,3,26,3,1,26,19806,560,451,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1.5,9903,280,226
114+12108,192ND AVE,NORTHBOUND,NE 18TH ST,WA,CLARK,98684,45.62131,-122.47595,45.63567,-122.47592,0.992176,6.0,America/Los_Angeles,P1.11,USA,1687,4,N,3,71317,2,,2,,1,1,,6849,477,158,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,3425,239,79
114+12107,192ND AVE,NORTHBOUND,SE 1ST ST,WA,CLARK,98683,45.61005,-122.47593,45.62131,-122.47595,0.777907,5.0,America/Los_Angeles,P1.11,USA,1687,4,N,3,71317,2,,4,,1,1,,4547,313,105,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,2274,157,53
114-05266,US-26,EASTBOUND,SE 122ND AVE,OR,MULTNOMAH,97266,45.49723,-122.56459,45.49706,-122.53765,1.328375,61.0,America/Los_Angeles,P1.11,USA,209,4,N,3,71317,2,,2,26,3,1,26,16367,454,365,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8184,227,183
114-11966,NE 112TH AVE,SOUTHBOUND,NE CHKALOV DR,WA,CLARK,98684,45.64275,-122.55796,45.62276,-122.55747,1.382218,4.0,America/Los_Angeles,P1.11,USA,1651,4,N,3,71317,2,,4,,1,1,,20022,200,400,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,10011,100,200
114-11967,NE 112TH AVE,SOUTHBOUND,NE 28TH ST/NE BURTON RD,WA,CLARK,98682,45.66139,-122.55879,45.64275,-122.55796,1.297026,3.0,America/Los_Angeles,P1.11,USA,1651,4,N,3,71317,2,,4,,1,1,,22830,570,455,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,11415,285,228
114-05267,US-26,EASTBOUND,SE 182ND AVE/SW HIGHLAND DR,OR,MULTNOMAH,97236,45.4948,-122.49672,45.49037,-122.47555,1.070534,63.0,America/Los_Angeles,P1.11,USA,209,4,N,3,71317,2,,4,26,3,1,,23218,792,318,1,35,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,11609,396,159
114-05264,US-26,EASTBOUND,SE 82ND AVE/CASCADE HWY,OR,MULTNOMAH,97206,45.49749,-122.60905,45.49741,-122.57874,1.467711,58.0,America/Los_Angeles,P1.11,USA,209,3,N,3,71317,2,,4,26,3,1,26,23330,669,317,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,11665,335,159
114-05265,US-26,EASTBOUND,I-205,OR,MULTNOMAH,97266,45.49741,-122.57874,45.49738,-122.56664,0.585924,59.0,America/Los_Angeles,P1.11,USA,209,3,N,3,71317,2,,4,26,3,1,26,30221,839,674,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,15111,420,337
114-05262,US-26,EASTBOUND,SE MCLOUGHLIN BLVD/SE GRAND AVE,OR,MULTNOMAH,97201,45.50062,-122.67254,45.50147,-122.662,0.513728,55.0,America/Los_Angeles,P1.11,USA,209,3,N,3,71317,2,1,4,26,3,1,26,49268,1685,655,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,24634,843,328
114-05263,US-26,EASTBOUND,SE 52ND AVE,OR,MULTNOMAH,97202,45.50118,-122.65423,45.49749,-122.60905,2.238401,57.0,America/Los_Angeles,P1.11,USA,209,3,N,3,71317,2,,4,26,3,1,26,31402,900,425,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,15701,450,213
114-11854,SE 34TH ST,WESTBOUND,SE 164TH AVE,WA,CLARK,98683,45.59673,-122.47128,45.59671,-122.50353,1.559282,1.0,America/Los_Angeles,P1.11,USA,1623,4,N,3,71317,6,,4,14,4,1,,10627,742,247,1,79,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,5314,371,124
114P04403,I-205,NORTHBOUND,AIRPORT WAY/EXIT 24,OR,MULTNOMAH,97220,45.56694,-122.55482,45.57444,-122.5461,0.670568,38.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,2,1,6,205,2,1,205,104630,3635,6453,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,52315,1818,3227
114P04402,I-205,NORTHBOUND,US-30 BUS/COLUMBIA BLVD/EXIT 23,OR,MULTNOMAH,97220,45.56017,-122.56381,45.56376,-122.55905,0.338397,36.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,2,,6,205,2,1,205,75522,2404,5099,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,37761,1202,2550
114P04401,I-205,NORTHBOUND,US-30 BUS/SANDY BLVD/EXIT 23,OR,MULTNOMAH,97220,45.55464,-122.56656,45.55834,-122.56586,0.264215,34.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,2,,7,205,2,1,205,146678,5207,11280,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3.5,73339,2604,5640
114P04400,I-205,NORTHBOUND,I-84/US-30/EXIT 22,OR,MULTNOMAH,97220,45.54223,-122.56173,45.55027,-122.56183,0.586141,32.0,America/Los_Angeles,P1.1,USA,92,1,N,1,71317,2,1,6,205,2,1,205,126611,4706,10195,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,63306,2353,5098
114+04513,I-405,NORTHBOUND,US-30/EXIT 3,OR,MULTNOMAH,97209,45.52858,-122.6868,45.53144,-122.6869,0.197633,13.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,1,6,405,2,1,405,85954,3793,6542,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,42977,1897,3271
114-11738,6TH AVE,WESTBOUND,WA-14/LEWIS AND CLARK HWY,WA,CLARK,98607,45.58614,-122.4071,45.58228,-122.42662,0.997778,2.0,America/Los_Angeles,P1.11,USA,1586,4,N,3,71317,2,,4,,1,1,,14275,573,155,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,7138,287,78
114-05376,OR-213,SOUTHBOUND,NE COLUMBIA BLVD,OR,MULTNOMAH,97220,45.5757,-122.57769,45.56806,-122.57768,0.527779,2.0,America/Los_Angeles,P1.11,USA,113,4,N,3,71317,2,1,4,213,1,1,213,22983,1466,673,2,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,11492,733,337
114+04515,I-405,NORTHBOUND,I-5 (PORTLAND) (NORTH),OR,MULTNOMAH,97227,45.54025,-122.68013,45.54096,-122.67928,0.064104,17.0,America/Los_Angeles,P1.1,USA,97,2,N,1,71317,6,1,4,405,2,1,,91572,3928,6400,1,99,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,45786,1964,3200
114P04407,I-205,NORTHBOUND,WA-500/NE 30TH CIR/EXIT 30,WA,CLARK,98662,45.65097,-122.56654,45.66359,-122.57676,1.006376,45.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,2,,4,205,2,1,,76125,2740,3204,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,38063,1370,1602
114-05374,OR-213,SOUTHBOUND,NE 82ND AVE/CASCADE HWY,OR,MULTNOMAH,97220,45.56267,-122.57767,45.56021,-122.57852,0.181904,5.0,America/Los_Angeles,P1.11,USA,113,4,N,3,71317,2,1,4,213,4,1,213,14183,556,175,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,7092,278,88
114-05375,OR-213,SOUTHBOUND,US-30 BYP/NE KILLINGSWORTH ST,OR,MULTNOMAH,97220,45.56464,-122.57767,45.56267,-122.57767,0.136087,4.0,America/Los_Angeles,P1.11,USA,113,4,N,3,71317,2,1,4,213,4,1,213,17758,697,221,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,8879,349,111
114P04406,I-205,NORTHBOUND,MILL PLAIN RD/EXIT 28,WA,CLARK,98684,45.61543,-122.5551,45.62783,-122.5592,0.904108,43.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,2,,7,205,2,1,,92084,3314,3876,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3.5,46042,1657,1938
114P05979,OR-43,NORTHBOUND,I-5,OR,MULTNOMAH,97239,45.49501,-122.67295,45.49932,-122.67282,0.297854,13.0,America/Los_Angeles,P1.11,USA,288,3,N,1,71317,1,,2,43,4,1,43,16350,364,191,1,100,1,100,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,16350,364,191
114+04511,I-405,NORTHBOUND,COUCH ST/EXIT 2,OR,MULTNOMAH,97205,45.51815,-122.68713,45.52245,-122.6857,0.310695,10.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,4,405,2,1,405,81943,3648,6661,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,40972,1824,3331
114P04405,I-205,NORTHBOUND,WA-14/EXIT 27,WA,CLARK,98683,45.60307,-122.55122,45.61166,-122.55267,0.597588,41.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,2,1,7,205,2,1,,100947,3633,4249,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3.5,50474,1817,2125
114-05372,OR-213,SOUTHBOUND,NE WASCO ST,OR,MULTNOMAH,97220,45.55243,-122.57865,45.53241,-122.57905,1.383256,7.0,America/Los_Angeles,P1.11,USA,113,4,N,3,71317,2,1,4,213,4,1,213,20933,820,260,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,10467,410,130
114-05373,OR-213,SOUTHBOUND,US-30 BUS/NE SANDY BLVD,OR,MULTNOMAH,97220,45.56021,-122.57852,45.55243,-122.57865,0.537543,6.0,America/Los_Angeles,P1.11,USA,113,4,N,3,71317,2,,4,213,4,1,213,18315,718,226,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,9158,359,113
114+04512,I-405,NORTHBOUND,EVERETT ST/EXIT 2,OR,MULTNOMAH,97209,45.52612,-122.68673,45.52644,-122.68673,0.022106,12.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,4,405,2,1,405,81503,3325,6072,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,40752,1663,3036
114P04404,I-205,NORTHBOUND,GLENN JACKSON BRIDGE,OR,MULTNOMAH,97220,45.58047,-122.54358,45.59846,-122.55043,1.297899,39.001,America/Los_Angeles,P3.2,USA,92,1,N,1,71317,6,1,8,205,2,1,205,130780,4687,6960,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,65390,2344,3480
114-05370,OR-213,SOUTHBOUND,SE STARK ST,OR,MULTNOMAH,97220,45.52642,-122.57906,45.51913,-122.57906,0.503618,9.0,America/Los_Angeles,P1.11,USA,113,4,N,3,71317,2,,4,213,4,1,213,25549,1004,319,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,12775,502,160
114-05371,OR-213,SOUTHBOUND,NE GLISAN ST,OR,MULTNOMAH,97220,45.53241,-122.57905,45.52642,-122.57906,0.413798,8.0,America/Los_Angeles,P1.11,USA,113,4,N,3,71317,2,,4,213,4,1,213,23698,930,295,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,11849,465,148
114-11865,39TH AVE,SOUTHBOUND,SE DIVISION ST,OR,MULTNOMAH,97214,45.51202,-122.62285,45.50478,-122.62264,0.500261,6.0,America/Los_Angeles,P1.11,USA,1626,4,N,3,71317,2,,4,,1,1,,17991,995,200,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,8996,498,100
114+04506,I-405,NORTHBOUND,4TH AVE/SW 1ST AVE/EXIT 1,OR,MULTNOMAH,97201,45.50555,-122.67743,45.50559,-122.67869,0.06107,1.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,1,6,405,2,1,405,65108,2396,5314,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,32554,1198,2657
114+04507,I-405,NORTHBOUND,6TH AVE/SW 1ST AVE/EXIT 1,OR,MULTNOMAH,97201,45.50592,-122.68085,45.50693,-122.68283,0.119056,3.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,6,405,2,1,405,71649,2923,5338,1,99,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,35825,1462,2669
114-11866,39TH AVE,SOUTHBOUND,SE HAWTHORNE BLVD,OR,MULTNOMAH,97214,45.5262,-122.62324,45.51202,-122.62285,0.982856,5.0,America/Los_Angeles,P1.11,USA,1626,4,N,3,71317,2,1,4,84,1,1,,18127,1002,201,1,100,1,4,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,9064,501,101
114+04508,I-405,NORTHBOUND,US-26/EXIT 1D (NB),OR,MULTNOMAH,97201,45.50915,-122.68623,45.51019,-122.6876,0.09784,5.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,6,405,2,1,405,73042,3731,6813,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,36521,1866,3407
114-11864,39TH AVE,SOUTHBOUND,US-26/SE POWELL BLVD,OR,MULTNOMAH,97202,45.50478,-122.62264,45.49733,-122.62264,0.51466,7.0,America/Los_Angeles,P1.11,USA,1626,4,N,3,71317,2,,4,,1,1,,17991,995,200,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,8996,498,100
114-11743,6TH AVE,SOUTHBOUND,SW WASHINGTON ST,OR,MULTNOMAH,97209,45.52871,-122.67726,45.52807,-122.67661,0.055339,1.0,America/Los_Angeles,P1.11,USA,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,,,,
114+04509,I-405,NORTHBOUND,SALMON ST/EXIT 2A (NB),OR,MULTNOMAH,97201,45.51218,-122.68911,45.51488,-122.68886,0.191525,7.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,6,405,2,1,405,104671,4271,7798,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,52336,2136,3899
114N04399,I-205,SOUTHBOUND,I-84/US-30/EXIT 21,OR,MULTNOMAH,97220,45.53512,-122.5643,45.52751,-122.56546,0.529502,21.0,America/Los_Angeles,P1.1,USA,92,1,N,1,71317,6,1,7,205,2,1,,117529,4158,8854,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3.5,58765,2079,4427
114N04398,I-205,SOUTHBOUND,WASHINGTON ST/STARK ST/EXIT 20,OR,MULTNOMAH,97216,45.52018,-122.56556,45.5146,-122.56564,0.385494,23.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,6,1,7,205,2,1,,122395,4345,9412,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3.5,61198,2173,4706
114N04395,I-205,SOUTHBOUND,FOSTER RD/EXIT 17,OR,MULTNOMAH,97266,45.48275,-122.56613,45.47431,-122.56578,0.583309,29.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,6,1,7,205,2,1,,126933,4268,9606,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3.5,63467,2134,4803
114N04394,I-205,SOUTHBOUND,JOHNSON CREEK BLVD/EXIT 16,OR,CLACKAMAS,97086,45.46,-122.57212,45.45298,-122.57314,0.491628,31.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,6,1,6,213,4,1,,89594,2867,6935,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,44797,1434,3468
114N04397,I-205,SOUTHBOUND,DIVISION ST/EXIT 19,OR,MULTNOMAH,97216,45.51042,-122.56569,45.49899,-122.56554,0.789872,25.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,6,1,7,205,2,1,,119015,4522,10103,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3.5,59508,2261,5052
114N04396,I-205,SOUTHBOUND,US-26/POWELL BLVD/EXIT 19,OR,MULTNOMAH,97266,45.49845,-122.56555,45.4938,-122.56569,0.321345,27.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,6,1,7,205,2,1,,122192,4111,9187,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3.5,61096,2056,4594
114P04513,I-405,NORTHBOUND,US-30/EXIT 3,OR,MULTNOMAH,97209,45.53144,-122.6869,45.5353,-122.68621,0.275491,14.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,1,6,405,2,1,405,101643,4533,6729,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,50822,2267,3365
114+12129,223RD AVE,NORTHBOUND,SE STARK ST,OR,MULTNOMAH,97030,45.51044,-122.43429,45.51908,-122.43381,0.600691,1.0,America/Los_Angeles,P1.11,USA,1693,4,N,3,71317,2,,4,,1,1,,28541,3530,847,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,14271,1765,424
114P04512,I-405,NORTHBOUND,EVERETT ST/EXIT 2,OR,MULTNOMAH,97209,45.52644,-122.68673,45.52858,-122.6868,0.147873,13.001,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,4,405,2,1,405,81503,3325,6072,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,40752,1663,3036
114P04511,I-405,NORTHBOUND,COUCH ST/EXIT 2,OR,MULTNOMAH,97209,45.52245,-122.6857,45.52612,-122.68673,0.260762,11.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,4,405,2,1,405,83273,3397,6203,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,41637,1699,3102
114P04510,I-405,NORTHBOUND,US-26/EXIT 1D (SB),OR,MULTNOMAH,97205,45.51695,-122.68778,45.51815,-122.68713,0.088666,10.001,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,4,405,2,1,405,58245,3648,6661,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,29123,1824,3331
114-05369,OR-213,SOUTHBOUND,SE DIVISION ST,OR,MULTNOMAH,97216,45.51913,-122.57906,45.50482,-122.57868,0.988921,10.0,America/Los_Angeles,P1.11,USA,113,4,N,3,71317,2,,4,213,4,1,213,26581,1043,330,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,13291,522,165
114-05367,OR-213,SOUTHBOUND,SE HOLGATE BLVD,OR,MULTNOMAH,97266,45.49741,-122.57874,45.49027,-122.57882,0.49327,12.0,America/Los_Angeles,P1.11,USA,113,4,N,3,71317,2,,4,213,4,1,213,22955,901,286,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,11478,451,143
114-04398,I-205,SOUTHBOUND,WASHINGTON ST/STARK ST/EXIT 20,OR,MULTNOMAH,97220,45.52751,-122.56546,45.52018,-122.56556,0.506386,22.0,America/Los_Angeles,P1.3,USA,92,1,N,1,71317,6,1,7,205,2,1,,122395,4345,9412,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3.5,61198,2173,4706
